date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:59:50	195/195	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Jan%202023%2017:59:42%20GMT	https://mamba.scienceturtles.com/robots.txt		(from )
17:59:50	54635/54635	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2022:06:24%20GMT	https://mamba.scienceturtles.com/	C:/My%20Web%20Sites/Portfolio/mamba.scienceturtles.com/index.html	(from )
17:59:51	604/604	---M--	200	added ('OK')	image/png	etag:W/%2225c-1851b51267b%22	https://www.scienceturtles.com/mambaassets/img/favicon.png	C:/My%20Web%20Sites/Portfolio/www.scienceturtles.com/mambaassets/img/favicon.png	(from https://mamba.scienceturtles.com/)
17:59:51	110438/110438	---M-Z	200	added ('OK')	text/css	etag:W/%221af66-MA7aTWKCoG0FYjklj9PTw0TfSFM%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	C:/My%20Web%20Sites/Portfolio/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	(from https://mamba.scienceturtles.com/)
17:59:51	21879/21879	---MCZ	200	added ('OK')	text/css	etag:W/%225577-1858da1f582%22	https://www.scienceturtles.com/mambaassets/css/styles.css	C:/My%20Web%20Sites/Portfolio/www.scienceturtles.com/mambaassets/css/styles.css	(from https://mamba.scienceturtles.com/)
17:59:51	1495556/1495556	---M--	200	added ('OK')	image/png	etag:W/%2216d204-1851b512a6e%22	https://www.scienceturtles.com/mambaassets/img/PortfolioMain.png	C:/My%20Web%20Sites/Portfolio/www.scienceturtles.com/mambaassets/img/PortfolioMain.png	(from https://mamba.scienceturtles.com/)
17:59:51	379460/379460	---M--	200	added ('OK')	image/png	etag:W/%225ca44-18584079b6f%22	https://www.scienceturtles.com/mambaassets/img/home.png	C:/My%20Web%20Sites/Portfolio/www.scienceturtles.com/mambaassets/img/home.png	(from https://mamba.scienceturtles.com/)
17:59:52	832397/832397	---M--	200	added ('OK')	image/png	etag:W/%22cb38d-18583f92da1%22	https://www.scienceturtles.com/mambaassets/img/about.png	C:/My%20Web%20Sites/Portfolio/www.scienceturtles.com/mambaassets/img/about.png	(from https://mamba.scienceturtles.com/)
17:59:52	114166/114166	---M--	200	added ('OK')	image/jpeg	etag:W/%221bdf6-1851b51256d%22	https://www.scienceturtles.com/mambaassets/img/portfimgs/MBUI1.jpg	C:/My%20Web%20Sites/Portfolio/www.scienceturtles.com/mambaassets/img/portfimgs/MBUI1.jpg	(from https://mamba.scienceturtles.com/)
17:59:52	194511/194511	---M--	200	added ('OK')	image/jpeg	etag:W/%222f7cf-1851b511f81%22	https://www.scienceturtles.com/mambaassets/img/portfimgs/MBUI2.jpg	C:/My%20Web%20Sites/Portfolio/www.scienceturtles.com/mambaassets/img/portfimgs/MBUI2.jpg	(from https://mamba.scienceturtles.com/)
